Pcode,Locality,State,Country
200,AUSTRALIAN NATIONAL UNIVERSITY,ACT,AU
221,BARTON,ACT,AU
800,DARWIN,NT,AU
801,DARWIN,NT,AU
803,WAGAIT BEACH,NT,AU
804,PARAP,NT,AU
810,ALAWA,NT,AU
810,BRINKIN,NT,AU
810,CASUARINA,NT,AU
810,COCONUT GROVE,NT,AU
810,JINGILI,NT,AU
810,LEE POINT,NT,AU
810,LYONS,NT,AU
810,MILLNER,NT,AU
810,MOIL,NT,AU
810,MUIRHEAD,NT,AU
810,NAKARA,NT,AU
810,NIGHTCLIFF,NT,AU
810,RAPID CREEK,NT,AU
810,TIWI,NT,AU
810,WAGAMAN,NT,AU
810,WANGURI,NT,AU
811,CASUARINA,NT,AU
812,ANULA,NT,AU
812,BUFFALO CREEK,NT,AU
812,HOLMES,NT,AU
812,KARAMA,NT,AU
812,LEANYER,NT,AU
812,MALAK,NT,AU
812,MARRARA,NT,AU
812,WULAGI,NT,AU
813,KARAMA,NT,AU
814,NIGHTCLIFF,NT,AU
815,CHARLES DARWIN UNIVERSITY,NT,AU
820,BAYVIEW,NT,AU
820,CHARLES DARWIN,NT,AU
820,COONAWARRA,NT,AU
820,DARWIN DC,NT,AU
820,DARWIN INTERNATIONAL AIRPORT,NT,AU
820,EAST POINT,NT,AU
820,EATON,NT,AU
820,FANNIE BAY,NT,AU
820,LARRAKEYAH,NT,AU
820,LUDMILLA,NT,AU
820,PARAP,NT,AU
820,STUART PARK,NT,AU
820,THE GARDENS,NT,AU
820,THE NARROWS,NT,AU
820,WINNELLIE,NT,AU
820,WOOLNER,NT,AU
821,WINNELLIE,NT,AU
822,ACACIA HILLS,NT,AU
822,ANGURUGU,NT,AU
822,ANINDILYAKWA,NT,AU
822,ANNIE RIVER,NT,AU
822,BATHURST ISLAND,NT,AU
822,BEES CREEK,NT,AU
822,BELYUEN,NT,AU
822,BLACK JUNGLE,NT,AU
822,BLACKMORE,NT,AU
822,BURRUNDIE,NT,AU
822,BYNOE,NT,AU
822,BYNOE HARBOUR,NT,AU
822,CAMP CREEK,NT,AU
822,CHANNEL ISLAND,NT,AU
822,CHARLES DARWIN,NT,AU
822,CHARLOTTE,NT,AU
822,CLARAVALE,NT,AU
822,COBOURG,NT,AU
822,COLLETT CREEK,NT,AU
822,COOMALIE CREEK,NT,AU
822,COX PENINSULA,NT,AU
822,DALY,NT,AU
822,DALY RIVER,NT,AU
822,DARWIN RIVER DAM,NT,AU
822,DELISSAVILLE,NT,AU
822,DOUGLAS-DALY,NT,AU
822,EAST ARM,NT,AU
822,EAST ARNHEM,NT,AU
822,ELRUNDIE,NT,AU
822,EVA VALLEY,NT,AU
822,FINNISS VALLEY,NT,AU
822,FLEMING,NT,AU
822,FLY CREEK,NT,AU
822,FREDS PASS,NT,AU
822,GALIWINKU,NT,AU
822,GLYDE POINT,NT,AU
822,GOULBURN ISLAND,NT,AU
822,GUNBALANYA,NT,AU
822,GUNN POINT,NT,AU
822,HAYES CREEK,NT,AU
822,HIDDEN VALLEY,NT,AU
822,HOTHAM,NT,AU
822,HUGHES,NT,AU
822,KAKADU,NT,AU
822,KOOLPINYAH,NT,AU
822,LAKE BENNETT,NT,AU
822,LAMBELLS LAGOON,NT,AU
822,LITCHFIELD PARK,NT,AU
822,LIVINGSTONE,NT,AU
822,LLOYD CREEK,NT,AU
822,MANDORAH,NT,AU
822,MANINGRIDA,NT,AU
822,MAPURU,NT,AU
822,MARANUNGA,NT,AU
822,MARGARET RIVER,NT,AU
822,MARRAKAI,NT,AU
822,MCMINNS LAGOON,NT,AU
822,MICKETT CREEK,NT,AU
822,MIDDLE POINT,NT,AU
822,MILIKAPITI,NT,AU
822,MILINGIMBI,NT,AU
822,MILYAKBURRA,NT,AU
822,MINJILANG,NT,AU
822,MOUNT BUNDEY,NT,AU
822,MURRUMUJUK,NT,AU
822,NAUIYU,NT,AU
822,NEMARLUK,NT,AU
822,NGANMARRIYANGA,NT,AU
822,NUMBULWAR,NT,AU
822,NUMBURINDI,NT,AU
822,OENPELLI,NT,AU
822,PEPPIMENARTI,NT,AU
822,PIRLANGIMPI,NT,AU
822,POINT STEPHENS,NT,AU
822,POINT STUART,NT,AU
822,PULARUMPI,NT,AU
822,RAKULA,NT,AU
822,RAMINGINING,NT,AU
822,ROBIN FALLS,NT,AU
822,RUM JUNGLE,NT,AU
822,SANDPALMS ROADHOUSE,NT,AU
822,SOUTHPORT,NT,AU
822,STAPLETON,NT,AU
822,THAMARRURR,NT,AU
822,TIPPERARY,NT,AU
822,TIVENDALE,NT,AU
822,TIWI ISLANDS,NT,AU
822,TORTILLA FLATS,NT,AU
822,TUMBLING WATERS,NT,AU
822,UMBAKUMBA,NT,AU
822,VERNON ISLANDS,NT,AU
822,WADEYE,NT,AU
822,WAGAIT BEACH,NT,AU
822,WAK WAK,NT,AU
822,WARRUWI,NT,AU
822,WEDDELL,NT,AU
822,WEST ARNHEM,NT,AU
822,WICKHAM,NT,AU
822,WINNELLIE,NT,AU
822,WISHART,NT,AU
822,WOOLANING,NT,AU
822,WURRUMIYANGA,NT,AU
828,BERRIMAH,NT,AU
828,KNUCKEY LAGOON,NT,AU
829,HOLTZE,NT,AU
829,PINELANDS,NT,AU
830,ARCHER,NT,AU
830,DRIVER,NT,AU
830,DURACK,NT,AU
830,FARRAR,NT,AU
830,GRAY,NT,AU
830,MARLOW LAGOON,NT,AU
830,MOULDEN,NT,AU
830,PALMERSTON,NT,AU
830,SHOAL BAY,NT,AU
830,WOODROFFE,NT,AU
830,YARRAWONGA,NT,AU
831,PALMERSTON,NT,AU
832,BAKEWELL,NT,AU
832,BELLAMACK,NT,AU
832,GUNN,NT,AU
832,JOHNSTON,NT,AU
832,MITCHELL,NT,AU
832,ROSEBERY,NT,AU
832,ROSEBERY HEIGHTS,NT,AU
832,ZUCCOLI,NT,AU
834,VIRGINIA,NT,AU
835,HOWARD SPRINGS,NT,AU
836,GIRRAWEEN,NT,AU
836,HERBERT,NT,AU
836,HUMPTY DOO,NT,AU
837,MANTON,NT,AU
837,NOONAMAH,NT,AU
838,BERRY SPRINGS,NT,AU
839,COOLALINGA,NT,AU
840,DUNDEE BEACH,NT,AU
840,DUNDEE DOWNS,NT,AU
840,DUNDEE FOREST,NT,AU
841,DARWIN RIVER,NT,AU
845,BATCHELOR,NT,AU
846,ADELAIDE RIVER,NT,AU
847,PINE CREEK,NT,AU
850,COSSACK,NT,AU
850,EMUNGALAN,NT,AU
850,KATHERINE,NT,AU
850,KATHERINE EAST,NT,AU
850,KATHERINE SOUTH,NT,AU
850,LANSDOWNE,NT,AU
851,KATHERINE,NT,AU
852,ARNOLD,NT,AU
852,BAINES,NT,AU
852,BARUNGA,NT,AU
852,BESWICK,NT,AU
852,BESWICK CREEK,NT,AU
852,BINJARI,NT,AU
852,BIRDUM,NT,AU
852,BRADSHAW,NT,AU
852,BUCHANAN,NT,AU
852,BULMAN WEEMOL,NT,AU
852,CRESWELL,NT,AU
852,DAGURAGU,NT,AU
852,DALY WATERS,NT,AU
852,DELAMERE,NT,AU
852,EDITH,NT,AU
852,ELSEY,NT,AU
852,FLORINA,NT,AU
852,FLYING FOX,NT,AU
852,GREGORY,NT,AU
852,GULUNG MARDRULK,NT,AU
852,GURINDJI,NT,AU
852,HELEN SPRINGS STATION,NT,AU
852,JILKMINGGAN,NT,AU
852,KALKARINDJI,NT,AU
852,KATHERINE,NT,AU
852,LAJAMANU,NT,AU
852,LARRIMAH,NT,AU
852,LIMMEN,NT,AU
852,MANBULLOO,NT,AU
852,MARANBOY,NT,AU
852,MATARANKA,NT,AU
852,MCARTHUR,NT,AU
852,MINIYERI,NT,AU
852,NGUKURR,NT,AU
852,NITMILUK,NT,AU
852,PELLEW ISLANDS,NT,AU
852,PIGEON HOLE,NT,AU
852,ROBINSON RIVER,NT,AU
852,STURT PLATEAU,NT,AU
852,TANAMI EAST,NT,AU
852,TIMBER CREEK,NT,AU
852,TOP SPRINGS,NT,AU
852,URALLA,NT,AU
852,VENN,NT,AU
852,VICTORIA RIVER,NT,AU
852,VICTORIA RIVER DOWNS,NT,AU
852,WARUMUNGU,NT,AU
852,WAVE HILL,NT,AU
852,WILTON,NT,AU
852,YARRALIN,NT,AU
853,TINDAL,NT,AU
854,BORROLOOLA,NT,AU
854,KING ASH BAY,NT,AU
860,TENNANT CREEK,NT,AU
861,TENNANT CREEK,NT,AU
862,CALVERT,NT,AU
862,ELLIOTT,NT,AU
862,NEWCASTLE WATERS,NT,AU
862,NICHOLSON,NT,AU
862,PAMAYU,NT,AU
862,RENNER SPRINGS,NT,AU
862,TABLELANDS,NT,AU
862,TENNANT CREEK,NT,AU
862,WARREGO,NT,AU
870,ALICE SPRINGS,NT,AU
870,ARALUEN,NT,AU
870,ARUMBERA,NT,AU
870,BRAITLING,NT,AU
870,CICCONE,NT,AU
870,CONNELLAN,NT,AU
870,DESERT SPRINGS,NT,AU
870,EAST SIDE,NT,AU
870,FLYNN,NT,AU
870,GILLEN,NT,AU
870,ILPARPA,NT,AU
870,IRLPME,NT,AU
870,LARAPINTA,NT,AU
870,MOUNT JOHNS,NT,AU
870,ROSS,NT,AU
870,SADADEEN,NT,AU
870,STUART,NT,AU
870,THE GAP,NT,AU
870,UNDOOLYA,NT,AU
870,WHITE GUMS,NT,AU
871,ALICE SPRINGS,NT,AU
872,ALI CURUNG,NT,AU
